Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
26,2018,7.74,27,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,825",4.7,Don Miguel Ruiz
27,2018,8.55,28,The Wonderful Things You Will Be,"25,210",4.9,Emily Winfield Martin
28,2018,5.72,29,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,
29,2018,5.0,30,The Pout-Pout Fish,"23,609",4.9,Deborah Diesen
0,2019,12.39,1,Where the Crawdads Sing,"346,836",4.8,Delia Owens
1,2019,16.5,2,Becoming,"123,317",4.8,Michelle Obama
2,2019,16.0,3,Educated: A Memoir,"69,531",4.7,Tara Westover
3,2019,6.43,4,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),"23,667",4.9,Dav Pilkey
4,2019,11.51,5,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","27,339",4.6,Rachel Hollis
5,2019,7.76,6,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),"28,015",4.9,Dav Pilkey
6,2019,8.96,7,Wrecking Ball (Diary of a Wimpy Kid Book 14),"18,641",4.9,Jeff Kinney
7,2019,8.55,8,The Wonderful Things You Will Be,"25,210",4.9,Emily Winfield Martin
8,2019,5.99,9,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)","66,949",4.8,School Zone
9,2019,7.57,10,The 5 Love Languages: The Secret to Love that Lasts,"69,992",4.8,Gary Chapman
10,2019,9.98,11,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","14,262",4.6,Rachel Hollis
11,2019,5.28,12,The Wonky Donkey,"74,804",4.8,Craig Smith
12,2019,14.3,13,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"80,456",4.6,Mark Manson
